County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),0,N/A,52.5,52.4,52.6,N/A , N/A , N/A,222606,falling,-3.5,-4.0,-3.1
"Union County, Florida(2)",12125,Rural,156.1,132.4,183.1,N/A , N/A , N/A,32,falling,-2.8,-4.5,-1.1
"Alexander County, Illinois(7)",17003,Urban,132.1,100.3,173.3,N/A , N/A , N/A,13,stable,-1.3,-4.1,1.4
"Owsley County, Kentucky(7)",21189,Rural,130.5,91.2,182.9,N/A , N/A , N/A,8,falling,-10.6,-30.2,-1.1
"Livingston County, Kentucky(7)",21139,Urban,126.6,100.7,158.2,N/A , N/A , N/A,18,stable,0.7,-1.7,3.4
"Leslie County, Kentucky(7)",21131,Rural,124.7,100.3,154,N/A , N/A , N/A,19,stable,-0.3,-2.4,2.0
"Pendleton County, Kentucky(7)",21191,Urban,123.8,101.9,149.4,N/A , N/A , N/A,24,stable,0.3,-1.5,2.3
"Rockcastle County, Kentucky(7)",21203,Rural,123.8,104.2,146.5,N/A , N/A , N/A,30,stable,0.6,-0.4,1.7
"McCreary County, Kentucky(7)",21147,Rural,122.7,102.1,146.4,N/A , N/A , N/A,26,stable,-1.0,-2.6,0.8
"Lincoln County, West Virginia(2)",54043,Rural,121.3,104.4,140.5,N/A , N/A , N/A,39,rising,14.0,2.0,24.4
"Floyd County, Kentucky(7)",21071,Rural,119.6,106.4,134,N/A , N/A , N/A,64,falling,-1.7,-5.5,-0.6
"Trousdale County, Tennessee(2)",47169,Urban,119.5,92.8,151.8,N/A , N/A , N/A,14,stable,1.1,-0.8,3.3
"Wolfe County, Kentucky(7)",21237,Rural,119.2,90.6,155.5,N/A , N/A , N/A,12,stable,-0.6,-2.7,6.2
"Whitley County, Kentucky(7)",21235,Rural,117.9,104.1,133.2,N/A , N/A , N/A,54,stable,-0.1,-1.4,1.4
"Gallatin County, Kentucky(7)",21077,Urban,117,89.5,151,N/A , N/A , N/A,13,stable,-0.7,-2.9,1.8
